id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,reviews total,pre 2014 reviews,post 2014 reviews
2265,Zen-East in the Heart of Austin,2466,Paddy,,78702,30.2775,-97.71398,Entire home/apt,225,28,24,2019-03-16,0.19,3,25,24,9,15
5245,"Green, Colorful, Clean &  Cozy home",2466,Paddy,,78702,30.27577,-97.71379,Private room,100,28,9,2018-03-14,0.07,3,30,23,5,4
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.261120000000002,-97.73448,Entire home/apt,95,2,490,2019-06-28,3.89,1,307,5,266,224
5769,NW Austin Room,8186,Elizabeth,,78729,30.455959999999997,-97.7837,Private room,40,1,250,2019-06-06,2.22,1,58,10,150,100
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24829,-97.73725999999999,Entire home/apt,99,3,95,2019-07-07,0.81,1,70,44,15,80
6448,Secluded Studio in 78704 (Zilker),14156,Amy,,78704,30.260270000000002,-97.76503000000001,Entire home/apt,129,3,210,2019-05-27,2.2,2,124,11,65,145
8502,Woodland Studio Lodging,25298,Karen,,78741,30.236159999999998,-97.73682,Entire home/apt,40,3,46,2019-05-28,0.4,1,180,30,21,25
14765,"30s Craftsman Travis Hghts home, SoCo,  downtown",57982,Charla,,78704,30.250120000000003,-97.74193000000001,Entire home/apt,260,2,47,2019-04-14,0.61,1,192,25,4,43
14913,Blue Boy Club House / Music Venue,58635,Steven,,78748,30.15645,-97.82411,Entire home/apt,300,1,25,2018-08-26,0.39,1,0,15,3,22
21126,Live Like a Local in a Chic Mid-Century Modern Retreat,80406,Dani,,78704,30.24503,-97.74075,Entire home/apt,550,1,84,2019-07-07,1.07,12,151,9,7,77
21145,"Private Pool, Non Smoking, Pet Friendly, Central",80511,April,,78705,30.294220000000003,-97.74618000000001,Entire home/apt,220,2,32,2019-02-18,0.77,1,111,2,0,32
22166,Close in Hill country views NW ,84906,Stacey,,78759,30.389570000000003,-97.76216,Entire home/apt,155,30,9,2015-07-04,0.08,1,338,8,7,2
22828,Garage Apartment near S Congress,56488,David,,78741,30.235640000000004,-97.73146,Entire home/apt,54,31,36,2019-06-21,0.32,1,262,3,21,15
22982,Private Clarksville 2-1/Sleeps Six,89031,Gina,,78703,30.28027,-97.75596,Entire home/apt,95,2,138,2019-07-07,1.22,1,306,142,34,104
25028,Lovely Central Austin Bungalow,102862,Elana,,78757,30.337659999999996,-97.73725999999999,Entire home/apt,100,30,32,2019-05-30,0.28,1,285,25,23,9
27632,Clarksville Condo - Minutes to DT!,119441,Angele,,78703,30.27722,-97.76088,Entire home/apt,95,2,95,2019-06-21,0.88,1,197,5,67,28
32396,South Austin Comfort,140174,Tiffany,,78749,30.20273,-97.84439,Entire home/apt,55,1,9,2012-10-02,0.08,1,192,9,9,0
37324,furnished bedroom and full bath,161189,Chris,,78727,30.4303,-97.69125,Private room,35,5,33,2019-05-25,0.66,1,260,38,0,33
39993,Tiny Tarrytown Apartment,210965,Susan And Anthony,,78703,30.29996,-97.77832,Entire home/apt,59,2,121,2019-07-07,1.86,2,299,15,1,120
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.351409999999998,-97.76323000000001,Entire home/apt,350,2,29,2019-05-27,0.28,1,364,47,21,8
