,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,pre 2014 reviews,post 2014 reviews,percent change
0,2265,Zen-East in the Heart of Austin,2466,Paddy,,78702,30.2775,-97.71398,Entire home/apt,225,28,24,3/16/2019,0.19,3,25,9,15,0.666666667
1,5245,"Green, Colorful, Clean &  Cozy home",2466,Paddy,,78702,30.27577,-97.71379,Private room,100,28,9,3/14/2018,0.07,3,30,5,4,-0.2
2,5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26112,-97.73448,Entire home/apt,95,2,490,6/28/2019,3.89,1,307,266,224,-0.157894737
3,5769,NW Austin Room,8186,Elizabeth,,78729,30.45596,-97.7837,Private room,40,1,250,6/6/2019,2.22,1,58,150,100,-0.333333333
4,6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24829,-97.73726,Entire home/apt,99,3,95,7/7/2019,0.81,1,70,15,80,4.333333333
5,6448,Secluded Studio in 78704 (Zilker),14156,Amy,,78704,30.26027,-97.76503,Entire home/apt,129,3,210,5/27/2019,2.2,2,124,65,145,1.230769231
6,8502,Woodland Studio Lodging,25298,Karen,,78741,30.23616,-97.73682,Entire home/apt,40,3,46,5/28/2019,0.4,1,180,21,25,0.19047619
7,14765,"30s Craftsman Travis Hghts home, SoCo,  downtown",57982,Charla,,78704,30.25012,-97.74193,Entire home/apt,260,2,47,4/14/2019,0.61,1,192,4,43,9.75
8,14913,Blue Boy Club House / Music Venue,58635,Steven,,78748,30.15645,-97.82411,Entire home/apt,300,1,25,8/26/2018,0.39,1,0,3,22,6.333333333
9,21126,Live Like a Local in a Chic Mid-Century Modern Retreat,80406,Dani,,78704,30.24503,-97.74075,Entire home/apt,550,1,84,7/7/2019,1.07,12,151,7,77,10
11,22166,Close in Hill country views NW ,84906,Stacey,,78759,30.38957,-97.76216,Entire home/apt,155,30,9,7/4/2015,0.08,1,338,7,2,-0.714285714
12,22828,Garage Apartment near S Congress,56488,David,,78741,30.23564,-97.73146,Entire home/apt,54,31,36,6/21/2019,0.32,1,262,21,15,-0.285714286
13,22982,Private Clarksville 2-1/Sleeps Six,89031,Gina,,78703,30.28027,-97.75596,Entire home/apt,95,2,138,7/7/2019,1.22,1,306,34,104,2.058823529
14,25028,Lovely Central Austin Bungalow,102862,Elana,,78757,30.33766,-97.73726,Entire home/apt,100,30,32,5/30/2019,0.28,1,285,23,9,-0.608695652
15,27632,Clarksville Condo - Minutes to DT!,119441,Angele,,78703,30.27722,-97.76088,Entire home/apt,95,2,95,6/21/2019,0.88,1,197,67,28,-0.582089552
18,40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35141,-97.76323,Entire home/apt,350,2,29,5/27/2019,0.28,1,364,21,8,-0.619047619
19,46929,Sunny Central Austin Apartment,210965,Susan And Anthony,,78703,30.30038,-97.77886,Entire home/apt,105,2,352,7/5/2019,3.31,2,258,132,220,0.666666667
